month,level_2,value
1975-11,Transport,30.456
1975-12,Food,42.198
1975-12,Food Excl Food Serving Services, 
1975-12,Food Serving Services, 
1975-12,Housing & Utilities,41.057
1975-12,Transport,30.456
1976-01,Food,41.871
1976-01,Food Excl Food Serving Services, 
1976-01,Food Serving Services, 
1976-01,Housing & Utilities,41.103
1976-01,Transport,31.484
1976-02,Food,41.857
1976-02,Food Excl Food Serving Services, 
1976-02,Food Serving Services, 
1976-02,Housing & Utilities,41.14
1976-02,Transport,31.665
1976-03,Food,40.73
1976-03,Food Excl Food Serving Services, 
1976-03,Food Serving Services, 
1976-03,Housing & Utilities,41.603
1976-03,Transport,31.665
1976-04,Food,39.98
1976-04,Food Excl Food Serving Services, 
1976-04,Food Serving Services, 
1976-04,Housing & Utilities,41.6
1976-04,Transport,31.665
1976-05,Food,40.255
1976-05,Food Excl Food Serving Services, 
1976-05,Food Serving Services, 
1976-05,Housing & Utilities,41.603
1976-05,Transport,31.665
1976-06,Food,39.842
1976-06,Food Excl Food Serving Services, 
1976-06,Food Serving Services, 
1976-06,Housing & Utilities,41.605
1976-06,Transport,31.665
1976-07,Food,39.784
1976-07,Food Excl Food Serving Services, 
1976-07,Food Serving Services, 
1976-07,Housing & Utilities,41.614
1976-07,Transport,31.681
1976-08,Food,39.678
1976-08,Food Excl Food Serving Services, 
1976-08,Food Serving Services, 
1976-08,Housing & Utilities,41.618
1976-08,Transport,31.681
1976-09,Food,39.523
1976-09,Food Excl Food Serving Services, 
1976-09,Food Serving Services, 
1976-09,Housing & Utilities,41.618
1976-09,Transport,31.687
1976-10,Food,39.441
1976-10,Food Excl Food Serving Services, 
1976-10,Food Serving Services, 
1976-10,Housing & Utilities,41.627
1976-10,Transport,31.694
1976-11,Food,39.882
1976-11,Food Excl Food Serving Services, 
1976-11,Food Serving Services, 
1976-11,Housing & Utilities,41.683
1976-11,Transport,31.694
1976-12,Food,40.457
1976-12,Food Excl Food Serving Services, 
1976-12,Food Serving Services, 
1976-12,Housing & Utilities,41.683
1976-12,Transport,31.694
1977-01,Food,41.387
1977-01,Food Excl Food Serving Services, 
1977-01,Food Serving Services, 
1977-01,Housing & Utilities,41.699
1977-01,Transport,31.729
1977-02,Food,41.849
1977-02,Food Excl Food Serving Services, 
1977-02,Food Serving Services, 
1977-02,Housing & Utilities,41.792
1977-02,Transport,31.729
1977-03,Food,41.319
1977-03,Food Excl Food Serving Services, 
1977-03,Food Serving Services, 
1977-03,Housing & Utilities,41.882
1977-03,Transport,31.729
1977-04,Food,40.634
1977-04,Food Excl Food Serving Services, 
1977-04,Food Serving Services, 
1977-04,Housing & Utilities,41.884
1977-04,Transport,31.754
1977-05,Food,41.204
1977-05,Food Excl Food Serving Services, 
1977-05,Food Serving Services, 
1977-05,Housing & Utilities,42.089
1977-05,Transport,31.869
1977-06,Food,41.437
1977-06,Food Excl Food Serving Services, 
1977-06,Food Serving Services, 
1977-06,Housing & Utilities,42.096
1977-06,Transport,31.876
1977-07,Food,42.159
1977-07,Food Excl Food Serving Services, 
1977-07,Food Serving Services, 
1977-07,Housing & Utilities,42.099
1977-07,Transport,31.916
1977-08,Food,43.339
1977-08,Food Excl Food Serving Services, 
1977-08,Food Serving Services, 
1977-08,Housing & Utilities,42.099
1977-08,Transport,31.916
1977-09,Food,43.845
1977-09,Food Excl Food Serving Services, 
1977-09,Food Serving Services, 
1977-09,Housing & Utilities,42.111
1977-09,Transport,31.916
1977-10,Food,42.546
1977-10,Food Excl Food Serving Services, 
1977-10,Food Serving Services, 
1977-10,Housing & Utilities,42.111
1977-10,Transport,31.927
1977-11,Food,43.092
1977-11,Food Excl Food Serving Services, 
1977-11,Food Serving Services, 
1977-11,Housing & Utilities,42.117
1977-11,Transport,31.927
1977-12,Food,44.725
1977-12,Food Excl Food Serving Services, 
1977-12,Food Serving Services, 
1977-12,Housing & Utilities,42.124
1977-12,Transport,31.927
1978-01,Food,44.487
1978-01,Food Excl Food Serving Services, 
1978-01,Food Serving Services, 
1978-01,Housing & Utilities,42.142
1978-01,Transport,31.978
1978-02,Food,45.429
1978-02,Food Excl Food Serving Services, 
1978-02,Food Serving Services, 
1978-02,Housing & Utilities,42.142
1978-02,Transport,31.977
1978-03,Food,43.55
1978-03,Food Excl Food Serving Services, 
1978-03,Food Serving Services, 
1978-03,Housing & Utilities,42.142
1978-03,Transport,32.062
1978-04,Food,43.594
1978-04,Food Excl Food Serving Services, 
1978-04,Food Serving Services, 
1978-04,Housing & Utilities,41.907
1978-04,Transport,32.258
1978-05,Food,44.054
1978-05,Food Excl Food Serving Services, 
1978-05,Food Serving Services, 
1978-05,Housing & Utilities,41.904
1978-05,Transport,32.273
1978-06,Food,44.266
1978-06,Food Excl Food Serving Services, 
1978-06,Food Serving Services, 
1978-06,Housing & Utilities,41.904
1978-06,Transport,32.299
1978-07,Food,44.665
1978-07,Food Excl Food Serving Services, 
1978-07,Food Serving Services, 
1978-07,Housing & Utilities,41.904
1978-07,Transport,34.899
1978-08,Food,45.238
1978-08,Food Excl Food Serving Services, 
1978-08,Food Serving Services, 
1978-08,Housing & Utilities,41.905
1978-08,Transport,34.926
1978-09,Food,45.442
1978-09,Food Excl Food Serving Services, 
1978-09,Food Serving Services, 
1978-09,Housing & Utilities,41.919
1978-09,Transport,34.942
1978-10,Food,44.797
1978-10,Food Excl Food Serving Services, 
1978-10,Food Serving Services, 
1978-10,Housing & Utilities,41.92
1978-10,Transport,34.954
1978-11,Food,45.553
1978-11,Food Excl Food Serving Services, 
1978-11,Food Serving Services, 
1978-11,Housing & Utilities,42.047
1978-11,Transport,34.954
1978-12,Food,45.282
1978-12,Food Excl Food Serving Services, 
1978-12,Food Serving Services, 
1978-12,Housing & Utilities,42.137
1978-12,Transport,34.954
1979-01,Food,45.06
1979-01,Food Excl Food Serving Services, 
1979-01,Food Serving Services, 
1979-01,Housing & Utilities,42.145
1979-01,Transport,34.968
1979-02,Food,44.589
1979-02,Food Excl Food Serving Services, 
1979-02,Food Serving Services, 
1979-02,Housing & Utilities,42.145
1979-02,Transport,34.971
1979-03,Food,43.725
1979-03,Food Excl Food Serving Services, 
1979-03,Food Serving Services, 
1979-03,Housing & Utilities,42.145
1979-03,Transport,34.975
1979-04,Food,44.391
1979-04,Food Excl Food Serving Services, 
1979-04,Food Serving Services, 
1979-04,Housing & Utilities,42.15
1979-04,Transport,34.978
1979-05,Food,44.789
1979-05,Food Excl Food Serving Services, 
1979-05,Food Serving Services, 
1979-05,Housing & Utilities,43.115
1979-05,Transport,34.978
1979-06,Food,45.081
1979-06,Food Excl Food Serving Services, 
1979-06,Food Serving Services, 
1979-06,Housing & Utilities,43.153
1979-06,Transport,34.982
1979-07,Food,45.703
1979-07,Food Excl Food Serving Services, 
1979-07,Food Serving Services, 
1979-07,Housing & Utilities,44.067
1979-07,Transport,35.285
1979-08,Food,46.718
1979-08,Food Excl Food Serving Services, 
1979-08,Food Serving Services, 
1979-08,Housing & Utilities,45.812
1979-08,Transport,35.937
1979-09,Food,46.736
1979-09,Food Excl Food Serving Services, 
1979-09,Food Serving Services, 
1979-09,Housing & Utilities,46.111
1979-09,Transport,40.335
1979-10,Food,46.671
1979-10,Food Excl Food Serving Services, 
1979-10,Food Serving Services, 
1979-10,Housing & Utilities,46.138
1979-10,Transport,40.339
1979-11,Food,47.668
1979-11,Food Excl Food Serving Services, 
1979-11,Food Serving Services, 
1979-11,Housing & Utilities,46.308
1979-11,Transport,40.357
1979-12,Food,48.653
1979-12,Food Excl Food Serving Services, 
1979-12,Food Serving Services, 
1979-12,Housing & Utilities,46.322
1979-12,Transport,40.358
1980-01,Food,47.846
1980-01,Food Excl Food Serving Services, 
1980-01,Food Serving Services, 
1980-01,Housing & Utilities,46.413
1980-01,Transport,40.862
1980-02,Food,49.891
1980-02,Food Excl Food Serving Services, 
1980-02,Food Serving Services, 
1980-02,Housing & Utilities,46.517
1980-02,Transport,41.191
1980-03,Food,49.215
1980-03,Food Excl Food Serving Services, 
1980-03,Food Serving Services, 
1980-03,Housing & Utilities,50.105
1980-03,Transport,41.88
1980-04,Food,49.324
1980-04,Food Excl Food Serving Services, 
1980-04,Food Serving Services, 
1980-04,Housing & Utilities,50.306
1980-04,Transport,41.877
1980-05,Food,49.066
1980-05,Food Excl Food Serving Services, 
1980-05,Food Serving Services, 
1980-05,Housing & Utilities,50.368
1980-05,Transport,41.856
1980-06,Food,49.262
1980-06,Food Excl Food Serving Services, 
1980-06,Food Serving Services, 
1980-06,Housing & Utilities,50.469
1980-06,Transport,42.033
1980-07,Food,49.8
1980-07,Food Excl Food Serving Services, 
1980-07,Food Serving Services, 
1980-07,Housing & Utilities,50.531
1980-07,Transport,42.263
1980-08,Food,50.369
1980-08,Food Excl Food Serving Services, 
1980-08,Food Serving Services, 
1980-08,Housing & Utilities,51.391
1980-08,Transport,42.735
1980-09,Food,49.702
1980-09,Food Excl Food Serving Services, 
1980-09,Food Serving Services, 
1980-09,Housing & Utilities,51.388
1980-09,Transport,42.736
1980-10,Food,49.967
1980-10,Food Excl Food Serving Services, 
1980-10,Food Serving Services, 
1980-10,Housing & Utilities,51.389
1980-10,Transport,42.735
1980-11,Food,50.836
1980-11,Food Excl Food Serving Services, 
1980-11,Food Serving Services, 
1980-11,Housing & Utilities,51.498
1980-11,Transport,42.742
1980-12,Food,50.96
1980-12,Food Excl Food Serving Services, 
1980-12,Food Serving Services, 
1980-12,Housing & Utilities,51.497
1980-12,Transport,42.846
1981-01,Food,50.866
1981-01,Food Excl Food Serving Services, 
1981-01,Food Serving Services, 
1981-01,Housing & Utilities,51.543
1981-01,Transport,43.235
1981-02,Food,52.163
1981-02,Food Excl Food Serving Services, 
1981-02,Food Serving Services, 
1981-02,Housing & Utilities,51.581
1981-02,Transport,43.544
1981-03,Food,52.265
1981-03,Food Excl Food Serving Services, 
1981-03,Food Serving Services, 
1981-03,Housing & Utilities,51.64
1981-03,Transport,43.921
1981-04,Food,52.332
1981-04,Food Excl Food Serving Services, 
1981-04,Food Serving Services, 
1981-04,Housing & Utilities,51.64
1981-04,Transport,47.618
1981-05,Food,53.523
1981-05,Food Excl Food Serving Services, 
1981-05,Food Serving Services, 
1981-05,Housing & Utilities,51.743
1981-05,Transport,48.005
1981-06,Food,53.882
1981-06,Food Excl Food Serving Services, 
1981-06,Food Serving Services, 
1981-06,Housing & Utilities,51.738
1981-06,Transport,48.005
1981-07,Food,54.972
1981-07,Food Excl Food Serving Services, 
1981-07,Food Serving Services, 
1981-07,Housing & Utilities,53.296
1981-07,Transport,48.061
1981-08,Food,56.742
1981-08,Food Excl Food Serving Services, 
1981-08,Food Serving Services, 
1981-08,Housing & Utilities,53.295
1981-08,Transport,48.021
1981-09,Food,56.148
1981-09,Food Excl Food Serving Services, 
1981-09,Food Serving Services, 
1981-09,Housing & Utilities,54.163
1981-09,Transport,48.021
1981-10,Food,56.202
1981-10,Food Excl Food Serving Services, 
1981-10,Food Serving Services, 
1981-10,Housing & Utilities,54.162
1981-10,Transport,48.063
1981-11,Food,57.204
1981-11,Food Excl Food Serving Services, 
1981-11,Food Serving Services, 
1981-11,Housing & Utilities,54.341
1981-11,Transport,48.063
1981-12,Food,58.455
1981-12,Food Excl Food Serving Services, 
1981-12,Food Serving Services, 
1981-12,Housing & Utilities,54.341
1981-12,Transport,48.083
1982-01,Food,60.038
1982-01,Food Excl Food Serving Services, 
1982-01,Food Serving Services, 
1982-01,Housing & Utilities,54.34
1982-01,Transport,48.132
1982-02,Food,58.142
1982-02,Food Excl Food Serving Services, 
1982-02,Food Serving Services, 
1982-02,Housing & Utilities,54.339
1982-02,Transport,48.084
1982-03,Food,56.475
1982-03,Food Excl Food Serving Services, 
1982-03,Food Serving Services, 
1982-03,Housing & Utilities,54.281
1982-03,Transport,48.049
1982-04,Food,56.484
1982-04,Food Excl Food Serving Services, 
1982-04,Food Serving Services, 
1982-04,Housing & Utilities,54.272
1982-04,Transport,48.049
1982-05,Food,56.51
1982-05,Food Excl Food Serving Services, 
1982-05,Food Serving Services, 
1982-05,Housing & Utilities,54.621
1982-05,Transport,47.908
1982-06,Food,57.039
1982-06,Food Excl Food Serving Services, 
1982-06,Food Serving Services, 
1982-06,Housing & Utilities,54.622
1982-06,Transport,47.908
1982-07,Food,56.372
1982-07,Food Excl Food Serving Services, 
1982-07,Food Serving Services, 
1982-07,Housing & Utilities,54.706
1982-07,Transport,47.9
1982-08,Food,56.985
1982-08,Food Excl Food Serving Services, 
1982-08,Food Serving Services, 
1982-08,Housing & Utilities,54.964
1982-08,Transport,47.985
1982-09,Food,57.055
1982-09,Food Excl Food Serving Services, 
1982-09,Food Serving Services, 
1982-09,Housing & Utilities,54.966
1982-09,Transport,47.985
1982-10,Food,56.296
1982-10,Food Excl Food Serving Services, 
1982-10,Food Serving Services, 
1982-10,Housing & Utilities,54.967
1982-10,Transport,48.649
1982-11,Food,57.228
1982-11,Food Excl Food Serving Services, 
1982-11,Food Serving Services, 
1982-11,Housing & Utilities,55.406
1982-11,Transport,48.649
1982-12,Food,58.334
1982-12,Food Excl Food Serving Services, 
1982-12,Food Serving Services, 
1982-12,Housing & Utilities,55.412
1982-12,Transport,48.832
1983-01,Food,57.226
1983-01,Food Excl Food Serving Services, 
1983-01,Food Serving Services, 
1983-01,Housing & Utilities,55.355
1983-01,Transport,48.841
1983-02,Food,57.097
1983-02,Food Excl Food Serving Services, 
1983-02,Food Serving Services, 
1983-02,Housing & Utilities,55.404
1983-02,Transport,48.832
1983-03,Food,56.847
1983-03,Food Excl Food Serving Services, 
1983-03,Food Serving Services, 
1983-03,Housing & Utilities,55.728
1983-03,Transport,48.832
1983-04,Food,56.887
1983-04,Food Excl Food Serving Services, 
1983-04,Food Serving Services, 
1983-04,Housing & Utilities,55.705
1983-04,Transport,48.092
1983-05,Food,57.65
1983-05,Food Excl Food Serving Services, 
1983-05,Food Serving Services, 
1983-05,Housing & Utilities,54.702
1983-05,Transport,48.098
1983-06,Food,56.856
1983-06,Food Excl Food Serving Services, 
1983-06,Food Serving Services, 
1983-06,Housing & Utilities,54.799
1983-06,Transport,48.102
1983-07,Food,57.228
1983-07,Food Excl Food Serving Services, 
1983-07,Food Serving Services, 
1983-07,Housing & Utilities,54.971
1983-07,Transport,48.151
1983-08,Food,57.344
1983-08,Food Excl Food Serving Services, 
1983-08,Food Serving Services, 
1983-08,Housing & Utilities,55.025
1983-08,Transport,48.161
1983-09,Food,57.785
1983-09,Food Excl Food Serving Services, 
1983-09,Food Serving Services, 
1983-09,Housing & Utilities,55.024
1983-09,Transport,48.16
1983-10,Food,57.393
1983-10,Food Excl Food Serving Services, 
1983-10,Food Serving Services, 
1983-10,Housing & Utilities,55.023
1983-10,Transport,48.465
1983-11,Food,57.91
1983-11,Food Excl Food Serving Services, 
1983-11,Food Serving Services, 
1983-11,Housing & Utilities,54.923
1983-11,Transport,50.559
1983-12,Food,57.997
1983-12,Food Excl Food Serving Services, 
1983-12,Food Serving Services, 
1983-12,Housing & Utilities,55.77
1983-12,Transport,50.569
1984-01,Food,58.604
1984-01,Food Excl Food Serving Services, 
1984-01,Food Serving Services, 
1984-01,Housing & Utilities,55.794
1984-01,Transport,50.955
1984-02,Food,60.306
1984-02,Food Excl Food Serving Services, 
1984-02,Food Serving Services, 
1984-02,Housing & Utilities,55.799
1984-02,Transport,50.955
1984-03,Food,58.437
1984-03,Food Excl Food Serving Services, 
1984-03,Food Serving Services, 
1984-03,Housing & Utilities,55.851
1984-03,Transport,50.984
1984-04,Food,58.361
1984-04,Food Excl Food Serving Services, 
1984-04,Food Serving Services, 
1984-04,Housing & Utilities,55.896
1984-04,Transport,50.984
1984-05,Food,58.248
1984-05,Food Excl Food Serving Services, 
1984-05,Food Serving Services, 
1984-05,Housing & Utilities,55.893
1984-05,Transport,50.99
1984-06,Food,58.512
1984-06,Food Excl Food Serving Services, 
1984-06,Food Serving Services, 
1984-06,Housing & Utilities,55.899
1984-06,Transport,50.992
1984-07,Food,58.143
1984-07,Food Excl Food Serving Services, 
1984-07,Food Serving Services, 
1984-07,Housing & Utilities,58.107
1984-07,Transport,50.991
1984-08,Food,58.493
1984-08,Food Excl Food Serving Services, 
1984-08,Food Serving Services, 
1984-08,Housing & Utilities,58.107
1984-08,Transport,51.003
1984-09,Food,57.735
1984-09,Food Excl Food Serving Services, 
1984-09,Food Serving Services, 
1984-09,Housing & Utilities,58.074
1984-09,Transport,50.783
1984-10,Food,57.571
1984-10,Food Excl Food Serving Services, 
1984-10,Food Serving Services, 
1984-10,Housing & Utilities,58.742
1984-10,Transport,50.574
1984-11,Food,57.164
1984-11,Food Excl Food Serving Services, 
1984-11,Food Serving Services, 
1984-11,Housing & Utilities,58.743
1984-11,Transport,50.573
1984-12,Food,57.144
1984-12,Food Excl Food Serving Services, 
1984-12,Food Serving Services, 
1984-12,Housing & Utilities,58.743
1984-12,Transport,50.573
1985-01,Food,57.507
1985-01,Food Excl Food Serving Services, 
1985-01,Food Serving Services, 
1985-01,Housing & Utilities,58.975
1985-01,Transport,50.728
1985-02,Food,58.172
1985-02,Food Excl Food Serving Services, 
1985-02,Food Serving Services, 
1985-02,Housing & Utilities,58.974
1985-02,Transport,50.724
1985-03,Food,57.84
1985-03,Food Excl Food Serving Services, 
1985-03,Food Serving Services, 
1985-03,Housing & Utilities,58.972
1985-03,Transport,52.942
1985-04,Food,57.397
1985-04,Food Excl Food Serving Services, 
1985-04,Food Serving Services, 
1985-04,Housing & Utilities,59.025
1985-04,Transport,54.566
1985-05,Food,57.361
1985-05,Food Excl Food Serving Services, 
1985-05,Food Serving Services, 
1985-05,Housing & Utilities,59.029
1985-05,Transport,54.572
1985-06,Food,57.428
1985-06,Food Excl Food Serving Services, 
1985-06,Food Serving Services, 
1985-06,Housing & Utilities,58.999
1985-06,Transport,55.404
1985-07,Food,57.754
1985-07,Food Excl Food Serving Services, 
1985-07,Food Serving Services, 
1985-07,Housing & Utilities,59.35
1985-07,Transport,55.429
1985-08,Food,57.922
1985-08,Food Excl Food Serving Services, 
1985-08,Food Serving Services, 
1985-08,Housing & Utilities,59.352
1985-08,Transport,55.435
1985-09,Food,57.505
1985-09,Food Excl Food Serving Services, 
1985-09,Food Serving Services, 
1985-09,Housing & Utilities,59.351
1985-09,Transport,53.433
1985-10,Food,57.284
1985-10,Food Excl Food Serving Services, 
1985-10,Food Serving Services, 
1985-10,Housing & Utilities,59.598
1985-10,Transport,53.37
1985-11,Food,57.14
1985-11,Food Excl Food Serving Services, 
1985-11,Food Serving Services, 
1985-11,Housing & Utilities,59.004
1985-11,Transport,53.37
1985-12,Food,57.185
1985-12,Food Excl Food Serving Services, 
1985-12,Food Serving Services, 
1985-12,Housing & Utilities,59.002
1985-12,Transport,53.232
1986-01,Food,57.23
1986-01,Food Excl Food Serving Services, 
1986-01,Food Serving Services, 
1986-01,Housing & Utilities,58.79
1986-01,Transport,53.009
1986-02,Food,57.138
1986-02,Food Excl Food Serving Services, 
1986-02,Food Serving Services, 
1986-02,Housing & Utilities,58.405
1986-02,Transport,52.57
1986-03,Food,57.25
1986-03,Food Excl Food Serving Services, 
1986-03,Food Serving Services, 
1986-03,Housing & Utilities,58.359
1986-03,Transport,51.083
1986-04,Food,56.73
1986-04,Food Excl Food Serving Services, 
1986-04,Food Serving Services, 
1986-04,Housing & Utilities,58.296
1986-04,Transport,50.704
1986-05,Food,56.742
1986-05,Food Excl Food Serving Services, 
1986-05,Food Serving Services, 
1986-05,Housing & Utilities,57.445
1986-05,Transport,51.258
1986-06,Food,56.561
1986-06,Food Excl Food Serving Services, 
1986-06,Food Serving Services, 
1986-06,Housing & Utilities,57.341
1986-06,Transport,51.306
1986-07,Food,56.316
1986-07,Food Excl Food Serving Services, 
1986-07,Food Serving Services, 
1986-07,Housing & Utilities,57.226
1986-07,Transport,51.537
1986-08,Food,56.143
1986-08,Food Excl Food Serving Services, 
1986-08,Food Serving Services, 
1986-08,Housing & Utilities,57.809
1986-08,Transport,51.433
1986-09,Food,56.65
1986-09,Food Excl Food Serving Services, 
1986-09,Food Serving Services, 
1986-09,Housing & Utilities,57.806
1986-09,Transport,51.482
1986-10,Food,56.589
1986-10,Food Excl Food Serving Services, 
1986-10,Food Serving Services, 
1986-10,Housing & Utilities,57.765
1986-10,Transport,51.684
1986-11,Food,56.379
1986-11,Food Excl Food Serving Services, 
1986-11,Food Serving Services, 
1986-11,Housing & Utilities,57.136
1986-11,Transport,51.62
1986-12,Food,56.482
1986-12,Food Excl Food Serving Services, 
1986-12,Food Serving Services, 
1986-12,Housing & Utilities,57.082
1986-12,Transport,51.66
1987-01,Food,57.306
1987-01,Food Excl Food Serving Services, 
1987-01,Food Serving Services, 
1987-01,Housing & Utilities,56.928
1987-01,Transport,51.632
1987-02,Food,56.577
1987-02,Food Excl Food Serving Services, 
1987-02,Food Serving Services, 
1987-02,Housing & Utilities,56.658
1987-02,Transport,51.662
1987-03,Food,55.955
1987-03,Food Excl Food Serving Services, 
1987-03,Food Serving Services, 
1987-03,Housing & Utilities,56.658
1987-03,Transport,51.817
1987-04,Food,56.233
1987-04,Food Excl Food Serving Services, 
1987-04,Food Serving Services, 
1987-04,Housing & Utilities,56.624
1987-04,Transport,52.162
1987-05,Food,56.435
1987-05,Food Excl Food Serving Services, 
1987-05,Food Serving Services, 
1987-05,Housing & Utilities,56.68
1987-05,Transport,52.407
1987-06,Food,56.366
1987-06,Food Excl Food Serving Services, 
1987-06,Food Serving Services, 
1987-06,Housing & Utilities,56.68
1987-06,Transport,52.437
1987-07,Food,56.718
1987-07,Food Excl Food Serving Services, 
1987-07,Food Serving Services, 
1987-07,Housing & Utilities,56.657
1987-07,Transport,52.488
1987-08,Food,56.694
1987-08,Food Excl Food Serving Services, 
1987-08,Food Serving Services, 
1987-08,Housing & Utilities,57.205
1987-08,Transport,52.489
1987-09,Food,56.643
1987-09,Food Excl Food Serving Services, 
1987-09,Food Serving Services, 
1987-09,Housing & Utilities,57.196
1987-09,Transport,52.361
1987-10,Food,56.544
1987-10,Food Excl Food Serving Services, 
1987-10,Food Serving Services, 
1987-10,Housing & Utilities,57.192
1987-10,Transport,52.356
1987-11,Food,56.706
1987-11,Food Excl Food Serving Services, 
1987-11,Food Serving Services, 
1987-11,Housing & Utilities,57.192
1987-11,Transport,52.368
1987-12,Food,56.96
1987-12,Food Excl Food Serving Services, 
1987-12,Food Serving Services, 
1987-12,Housing & Utilities,57.192
1987-12,Transport,52.224
1988-01,Food,56.53
1988-01,Food Excl Food Serving Services, 
1988-01,Food Serving Services, 
1988-01,Housing & Utilities,57.216
1988-01,Transport,52.294
1988-02,Food,57.548
1988-02,Food Excl Food Serving Services, 
1988-02,Food Serving Services, 
1988-02,Housing & Utilities,56.674
1988-02,Transport,52.584
1988-03,Food,57.049
1988-03,Food Excl Food Serving Services, 
1988-03,Food Serving Services, 
1988-03,Housing & Utilities,56.681
1988-03,Transport,52.714
1988-04,Food,56.989
1988-04,Food Excl Food Serving Services, 
1988-04,Food Serving Services, 
1988-04,Housing & Utilities,56.702
1988-04,Transport,52.726
1988-05,Food,57.287
1988-05,Food Excl Food Serving Services, 
1988-05,Food Serving Services, 
1988-05,Housing & Utilities,56.706
1988-05,Transport,52.894
1988-06,Food,57.081
1988-06,Food Excl Food Serving Services, 
1988-06,Food Serving Services, 
1988-06,Housing & Utilities,56.707
1988-06,Transport,53.014
1988-07,Food,57.798
1988-07,Food Excl Food Serving Services, 
1988-07,Food Serving Services, 
1988-07,Housing & Utilities,57.023
1988-07,Transport,52.787
1988-08,Food,57.755
1988-08,Food Excl Food Serving Services, 
1988-08,Food Serving Services, 
1988-08,Housing & Utilities,57.024
1988-08,Transport,52.674
1988-09,Food,57.787
1988-09,Food Excl Food Serving Services, 
1988-09,Food Serving Services, 
1988-09,Housing & Utilities,57.033
1988-09,Transport,52.68
1988-10,Food,57.398
1988-10,Food Excl Food Serving Services, 
1988-10,Food Serving Services, 
1988-10,Housing & Utilities,57.338
1988-10,Transport,52.49
1988-11,Food,57.593
1988-11,Food Excl Food Serving Services, 
1988-11,Food Serving Services, 
1988-11,Housing & Utilities,56.877
1988-11,Transport,52.8
1988-12,Food,57.77
1988-12,Food Excl Food Serving Services, 
1988-12,Food Serving Services, 
1988-12,Housing & Utilities,56.824
1988-12,Transport,53.188
1989-01,Food,57.451
1989-01,Food Excl Food Serving Services, 
1989-01,Food Serving Services, 
1989-01,Housing & Utilities,57.126
1989-01,Transport,53.39
1989-02,Food,57.698
1989-02,Food Excl Food Serving Services, 
1989-02,Food Serving Services, 
1989-02,Housing & Utilities,57.127
1989-02,Transport,53.478
1989-03,Food,57.228
1989-03,Food Excl Food Serving Services, 
1989-03,Food Serving Services, 
1989-03,Housing & Utilities,57.127
1989-03,Transport,53.573
1989-04,Food,57.616
1989-04,Food Excl Food Serving Services, 
1989-04,Food Serving Services, 
1989-04,Housing & Utilities,57.179
1989-04,Transport,53.986
1989-05,Food,58.161
1989-05,Food Excl Food Serving Services, 
1989-05,Food Serving Services, 
1989-05,Housing & Utilities,57.167
1989-05,Transport,55.136
1989-06,Food,58.171
1989-06,Food Excl Food Serving Services, 
1989-06,Food Serving Services, 
1989-06,Housing & Utilities,57.167
1989-06,Transport,56.616
1989-07,Food,58.287
1989-07,Food Excl Food Serving Services, 
1989-07,Food Serving Services, 
1989-07,Housing & Utilities,57.657
1989-07,Transport,56.323
1989-08,Food,58.19
1989-08,Food Excl Food Serving Services, 
1989-08,Food Serving Services, 
1989-08,Housing & Utilities,58.14
1989-08,Transport,56.463
1989-09,Food,58.155
1989-09,Food Excl Food Serving Services, 
1989-09,Food Serving Services, 
1989-09,Housing & Utilities,58.14
1989-09,Transport,56.46
1989-10,Food,58.284
1989-10,Food Excl Food Serving Services, 
1989-10,Food Serving Services, 
1989-10,Housing & Utilities,59.377
1989-10,Transport,56.469
1989-11,Food,58.681
1989-11,Food Excl Food Serving Services, 
1989-11,Food Serving Services, 
1989-11,Housing & Utilities,59.377
1989-11,Transport,56.609
1989-12,Food,58.548
1989-12,Food Excl Food Serving Services, 
1989-12,Food Serving Services, 
1989-12,Housing & Utilities,59.377
1989-12,Transport,57.421
1990-01,Food,58.65
1990-01,Food Excl Food Serving Services,58.952
1990-01,Food Serving Services,57.841
1990-01,Housing & Utilities,60.894
1990-01,Transport,57.532
1990-02,Food,58.536
1990-02,Food Excl Food Serving Services,58.61
1990-02,Food Serving Services,57.96
1990-02,Housing & Utilities,61.274
1990-02,Transport,57.749
1990-03,Food,58.123
1990-03,Food Excl Food Serving Services,57.77
1990-03,Food Serving Services,57.98
1990-03,Housing & Utilities,61.272
1990-03,Transport,57.82
1990-04,Food,58.546
1990-04,Food Excl Food Serving Services,58.603
1990-04,Food Serving Services,57.986
1990-04,Housing & Utilities,61.321
1990-04,Transport,57.973
1990-05,Food,58.75
1990-05,Food Excl Food Serving Services,58.986
1990-05,Food Serving Services,58.007
1990-05,Housing & Utilities,61.098
1990-05,Transport,58.274
1990-06,Food,58.718
1990-06,Food Excl Food Serving Services,58.88
1990-06,Food Serving Services,58.05
1990-06,Housing & Utilities,61.845
1990-06,Transport,58.146
1990-07,Food,58.462
1990-07,Food Excl Food Serving Services,58.25
1990-07,Food Serving Services,58.174
1990-07,Housing & Utilities,62.476
1990-07,Transport,58.079
1990-08,Food,58.476
1990-08,Food Excl Food Serving Services,58.099
1990-08,Food Serving Services,58.354
1990-08,Housing & Utilities,62.476
1990-08,Transport,59.637
1990-09,Food,58.158
1990-09,Food Excl Food Serving Services,57.376
1990-09,Food Serving Services,58.448
1990-09,Housing & Utilities,62.587
1990-09,Transport,62.936
1990-10,Food,58.138
1990-10,Food Excl Food Serving Services,57.24
1990-10,Food Serving Services,58.545
