month,level_2,value
1963-12,Housing & Utilities,27.104
1963-12,Transport,20.608
1964-01,Food,23.231
1964-01,Food Excl Food Serving Services, 
1964-01,Food Serving Services, 
1964-01,Housing & Utilities,27.104
1964-01,Transport,20.608
1964-02,Food,23.404
1964-02,Food Excl Food Serving Services, 
1964-02,Food Serving Services, 
1964-02,Housing & Utilities,27.104
1964-02,Transport,20.608
1964-03,Food,23.249
1964-03,Food Excl Food Serving Services, 
1964-03,Food Serving Services, 
1964-03,Housing & Utilities,27.162
1964-03,Transport,20.608
1964-04,Food,22.722
1964-04,Food Excl Food Serving Services, 
1964-04,Food Serving Services, 
1964-04,Housing & Utilities,27.162
1964-04,Transport,20.608
1964-05,Food,22.749
1964-05,Food Excl Food Serving Services, 
1964-05,Food Serving Services, 
1964-05,Housing & Utilities,27.05
1964-05,Transport,20.608
1964-06,Food,22.632
1964-06,Food Excl Food Serving Services, 
1964-06,Food Serving Services, 
1964-06,Housing & Utilities,27.05
1964-06,Transport,20.608
1964-07,Food,22.813
1964-07,Food Excl Food Serving Services, 
1964-07,Food Serving Services, 
1964-07,Housing & Utilities,27.05
1964-07,Transport,20.608
1964-08,Food,23.393
1964-08,Food Excl Food Serving Services, 
1964-08,Food Serving Services, 
1964-08,Housing & Utilities,27.41
1964-08,Transport,20.608
1964-09,Food,23.223
1964-09,Food Excl Food Serving Services, 
1964-09,Food Serving Services, 
1964-09,Housing & Utilities,27.723
1964-09,Transport,20.608
1964-10,Food,22.95
1964-10,Food Excl Food Serving Services, 
1964-10,Food Serving Services, 
1964-10,Housing & Utilities,27.836
1964-10,Transport,20.608
1964-11,Food,22.856
1964-11,Food Excl Food Serving Services, 
1964-11,Food Serving Services, 
1964-11,Housing & Utilities,28.079
1964-11,Transport,20.608
1964-12,Food,23.183
1964-12,Food Excl Food Serving Services, 
1964-12,Food Serving Services, 
1964-12,Housing & Utilities,28.079
1964-12,Transport,20.608
1965-01,Food,23.29
1965-01,Food Excl Food Serving Services, 
1965-01,Food Serving Services, 
1965-01,Housing & Utilities,28.079
1965-01,Transport,20.608
1965-02,Food,23.162
1965-02,Food Excl Food Serving Services, 
1965-02,Food Serving Services, 
1965-02,Housing & Utilities,28.079
1965-02,Transport,20.608
1965-03,Food,22.93
1965-03,Food Excl Food Serving Services, 
1965-03,Food Serving Services, 
1965-03,Housing & Utilities,27.954
1965-03,Transport,20.608
1965-04,Food,22.345
1965-04,Food Excl Food Serving Services, 
1965-04,Food Serving Services, 
1965-04,Housing & Utilities,27.954
1965-04,Transport,20.608
1965-05,Food,22.659
1965-05,Food Excl Food Serving Services, 
1965-05,Food Serving Services, 
1965-05,Housing & Utilities,27.954
1965-05,Transport,20.608
1965-06,Food,22.812
1965-06,Food Excl Food Serving Services, 
1965-06,Food Serving Services, 
1965-06,Housing & Utilities,27.92
1965-06,Transport,20.608
1965-07,Food,22.57
1965-07,Food Excl Food Serving Services, 
1965-07,Food Serving Services, 
1965-07,Housing & Utilities,27.92
1965-07,Transport,20.608
1965-08,Food,22.837
1965-08,Food Excl Food Serving Services, 
1965-08,Food Serving Services, 
1965-08,Housing & Utilities,27.836
1965-08,Transport,20.608
1965-09,Food,22.978
1965-09,Food Excl Food Serving Services, 
1965-09,Food Serving Services, 
1965-09,Housing & Utilities,27.748
1965-09,Transport,20.608
1965-10,Food,22.941
1965-10,Food Excl Food Serving Services, 
1965-10,Food Serving Services, 
1965-10,Housing & Utilities,27.855
1965-10,Transport,20.608
1965-11,Food,23.15
1965-11,Food Excl Food Serving Services, 
1965-11,Food Serving Services, 
1965-11,Housing & Utilities,27.826
1965-11,Transport,20.608
1965-12,Food,23.44
1965-12,Food Excl Food Serving Services, 
1965-12,Food Serving Services, 
1965-12,Housing & Utilities,27.766
1965-12,Transport,20.608
